delay,freq,expectation,textbox.text,,,
0.1,1000,exp,200,,Mean of exp trials,199.1582492
0.7,1000,exp,300,,Mean of unexp trials,266.6666667
0.7,1000,exp,500,,difference in interval estimates,67.50841751
0.4,1000,exp,300,,,
0.1,1000,exp,100,,,
0.4,1000,exp,400,,,
0.7,1000,exp,600,,,
0.1,1000,exp,150,,,
0.4,1000,exp,300,,,
0.4,1000,exp,300,,,
0.7,1000,exp,500,,,
0.7,1000,exp,400,,,
0.1,1000,exp,100,,,
0.1,1000,exp,100,,,
0.4,1000,exp,200,,,
0.4,1000,exp,200,,,
0.7,1000,exp,500,,,
0.1,1000,exp,150,,,
0.7,1000,exp,400,,,
0.4,1000,exp,500,,,
0.4,1000,exp,200,,,
0.7,1000,exp,400,,,
0.7,1000,exp,400,,,
0.1,1000,exp,100,,,
0.1,1000,exp,100,,,
0.1,1000,exp,150,,,
0.4,1000,exp,200,,,
0.1,1000,exp,200,,,
0.1,1000,exp,150,,,
0.4,1000,exp,300,,,
0.7,1000,exp,400,,,
0.1,1000,exp,150,,,
0.7,1000,exp,400,,,
0.4,1000,exp,200,,,
0.7,1000,exp,100,,,
0.4,1000,exp,200,,,
0.4,1000,exp,200,,,
0.4,1000,exp,150,,,
0.7,1000,exp,200,,,
0.1,1000,exp,100,,,
0.1,1000,exp,200,,,
0.7,1000,exp,200,,,
0.4,1000,exp,150,,,
0.1,1000,exp,150,,,
0.7,1000,exp,150,,,
0.7,1000,exp,200,,,
0.4,1000,exp,200,,,
0.7,1000,exp,200,,,
0.4,1000,exp,200,,,
0.1,1000,exp,100,,,
0.1,1000,exp,100,,,
0.7,1000,exp,300,,,
0.4,1000,exp,200,,,
0.1,1000,exp,100,,,
0.4,1000,exp,200,,,
0.1,1000,exp,150,,,
0.7,1000,exp,500,,,
0.4,1000,exp,300,,,
0.7,1000,exp,400,,,
0.7,1000,exp,250,,,
0.1,1000,exp,150,,,
0.4,1000,exp,200,,,
0.1,1000,exp,100,,,
0.4,1000,exp,200,,,
0.1,1000,exp,100,,,
0.1,1000,exp,150,,,
0.7,1000,exp,150,,,
0.1,1000,exp,150,,,
0.7,1000,exp,300,,,
0.7,1000,exp,300,,,
0.4,1000,exp,200,,,
0.4,1000,exp,150,,,
0.1,1000,exp,100,,,
0.4,1000,exp,150,,,
0.7,1000,exp,200,,,
0.4,1000,exp,150,,,
0.7,1000,exp,200,,,
0.1,1000,exp,150,,,
0.7,1000,exp,200,,,
0.1,1000,exp,100,,,
0.4,1000,exp,200,,,
0.4,1000,exp,150,,,
0.1,1000,exp,150,,,
0.7,1000,exp,200,,,
0.4,1000,exp,200,,,
0.1,1000,exp,100,,,
0.1,1000,exp,150,,,
0.7,1000,exp,300,,,
0.7,1000,exp,400,,,
0.4,1000,exp,300,,,
0.7,1000,exp,400,,,
0.1,1000,exp,150,,,
0.4,1000,exp,200,,,
0.7,1000,exp,300,,,
0.1,1000,exp,200,,,
0.4,1000,exp,150,,,
0.4,1000,exp,100,,,
0.1,1000,exp,100,,,
0.7,1000,exp,200,,,
0.7,1000,exp,200,,,
0.1,1000,exp,150,,,
0.1,1000,exp,100,,,
0.4,1000,exp,200,,,
0.7,1000,exp,200,,,
0.4,1000,exp,150,,,
0.7,1000,exp,200,,,
0.1,1000,exp,150,,,
0.4,1000,exp,150,,,
0.4,1000,exp,150,,,
0.1,1000,exp,100,,,
0.7,1000,exp,200,,,
0.4,1000,exp,150,,,
0.7,1000,exp,150,,,
0.1,1000,exp,150,,,
0.4,1000,exp,150,,,
0.7,1000,exp,150,,,
0.1,1000,exp,100,,,
0.1,1000,exp,100,,,
0.1,1000,exp,150,,,
0.1,1000,exp,200,,,
0.4,1000,exp,300,,,
0.7,1000,exp,400,,,
0.7,1000,exp,400,,,
0.7,1000,exp,300,,,
0.4,1000,exp,200,,,
0.4,1000,exp,200,,,
0.4,1000,exp,150,,,
0.1,1000,exp,150,,,
0.4,1000,exp,200,,,
0.7,1000,exp,150,,,
0.4,1000,exp,300,,,
0.7,1000,exp,500,,,
0.7,1000,exp,400,,,
0.1,1000,exp,100,,,
0.1,1000,exp,150,,,
0.4,1000,exp,200,,,
0.1,1000,exp,100,,,
0.1,1000,exp,100,,,
0.7,1000,exp,300,,,
0.7,1000,exp,250,,,
0.7,1000,exp,200,,,
0.1,1000,exp,100,,,
0.4,1000,exp,200,,,
0.4,1000,exp,250,,,
0.4,1000,exp,250,,,
0.4,1000,exp,250,,,
0.1,1000,exp,100,,,
0.1,1000,exp,150,,,
0.7,1000,exp,350,,,
0.1,1000,exp,200,,,
0.4,1000,exp,250,,,
0.7,1000,exp,200,,,
0.7,1000,exp,300,,,
0.4,1000,exp,300,,,
0.7,1000,exp,300,,,
0.1,1000,exp,200,,,
0.1,1000,exp,100,,,
0.4,1000,exp,200,,,
0.1,1000,exp,150,,,
0.7,1000,exp,200,,,
0.4,1000,exp,150,,,
0.7,1000,exp,150,,,
0.7,1000,exp,200,,,
0.7,1000,exp,150,,,
0.4,1000,exp,150,,,
0.1,1000,exp,100,,,
0.4,1000,exp,150,,,
0.1,1000,exp,100,,,
0.1,1000,exp,100,,,
0.4,1000,exp,250,,,
0.7,1000,exp,300,,,
0.7,1000,exp,250,,,
0.1,1000,exp,150,,,
0.4,1000,exp,200,,,
0.1,1000,exp,150,,,
0.1,1000,exp,100,,,
0.4,1000,exp,100,,,
0.7,1000,exp,300,,,
0.4,1000,exp,200,,,
0.7,1000,exp,300,,,
0.4,1000,exp,200,,,
0.7,1000,exp,200,,,
0.1,1000,exp,100,,,
0.1,1000,exp,150,,,
0.4,1000,exp,200,,,
0.7,1000,exp,250,,,
0.1,1000,exp,150,,,
0.7,1000,exp,150,,,
0.4,1000,exp,200,,,
0.1,1000,exp,150,,,
0.1,1000,exp,100,,,
0.4,1000,exp,100,,,
0.7,1000,exp,200,,,
0.4,1000,exp,150,,,
0.7,1000,exp,200,,,
0.1,1000,exp,100,,,
0.7,1000,exp,150,,,
0.4,1000,exp,150,,,
0.1,1000,exp,150,,,
0.1,1000,exp,100,,,
0.4,1000,exp,200,,,
0.4,1000,exp,200,,,
0.7,1000,exp,200,,,
0.7,1000,exp,300,,,
0.4,1000,exp,150,,,
0.7,1000,exp,200,,,
0.1,1000,exp,100,,,
0.1,1000,exp,100,,,
0.4,1000,exp,200,,,
0.1,1000,exp,100,,,
0.7,1000,exp,200,,,
0.4,1000,exp,150,,,
0.1,1000,exp,150,,,
0.4,1000,exp,200,,,
0.7,1000,exp,300,,,
0.7,1000,exp,400,,,
0.4,1000,exp,200,,,
0.4,1000,exp,250,,,
0.7,1000,exp,250,,,
0.7,1000,exp,250,,,
0.4,1000,exp,200,,,
0.1,1000,exp,150,,,
0.1,1000,exp,150,,,
0.7,1000,exp,200,,,
0.1,1000,exp,150,,,
0.4,1000,exp,200,,,
0.1,1000,exp,100,,,
0.7,1000,exp,300,,,
0.1,1000,exp,150,,,
0.4,1000,exp,200,,,
0.7,1000,exp,250,,,
0.1,1000,exp,150,,,
0.7,1000,exp,200,,,
0.4,1000,exp,250,,,
0.4,1000,exp,250,,,
0.7,1000,exp,250,,,
0.1,1000,exp,200,,,
0.1,1000,exp,150,,,
0.7,1000,exp,250,,,
0.4,1000,exp,150,,,
0.4,1000,exp,150,,,
0.1,1000,exp,150,,,
0.7,1000,exp,250,,,
0.7,1000,exp,250,,,
0.1,1000,exp,100,,,
0.4,1000,exp,150,,,
0.7,1000,exp,250,,,
0.4,1000,exp,200,,,
0.4,1000,exp,200,,,
0.1,1000,exp,150,,,
0.1,1000,exp,150,,,
0.7,1000,exp,200,,,
0.4,1000,exp,250,,,
0.7,1000,exp,250,,,
0.1,1000,exp,100,,,
0.7,1000,exp,250,,,
0.4,1000,exp,250,,,
0.1,1000,exp,150,,,
0.1,1000,exp,150,,,
0.7,1000,exp,250,,,
0.4,1000,exp,200,,,
0.4,1000,exp,250,,,
0.7,1000,exp,250,,,
0.1,1000,exp,150,,,
0.4,1000,exp,150,,,
0.7,1000,exp,200,,,
0.4,1000,exp,200,,,
0.1,1000,exp,100,,,
0.7,1000,exp,200,,,
0.1,1000,exp,100,,,
0.4,1000,exp,150,,,
0.1,1000,exp,100,,,
0.1,1000,exp,150,,,
0.7,1000,exp,200,,,
0.4,1000,exp,150,,,
0.7,1000,exp,200,,,
0.1,1000,exp,100,,,
0.7,1000,exp,200,,,
0.4,1000,exp,150,,,
0.1,1000,exp,100,,,
0.4,1000,exp,150,,,
0.7,1000,exp,150,,,
0.1,1000,exp,150,,,
0.1,1000,exp,150,,,
0.4,1000,exp,150,,,
0.7,1000,exp,250,,,
0.4,1000,exp,150,,,
0.7,1000,exp,250,,,
0.1,1000,exp,150,,,
0.7,1000,exp,200,,,
0.4,1000,exp,150,,,
0.1,1000,exp,100,,,
0.4,1000,exp,150,,,
0.7,1000,exp,200,,,
0.7,1000,exp,200,,,
0.1,1000,exp,150,,,
0.4,1000,exp,150,,,
0.7,400,unexp,400,,,
0.1,400,unexp,100,,,
0.4,400,unexp,500,,,
0.7,400,unexp,600,,,
0.4,400,unexp,300,,,
0.1,400,unexp,100,,,
0.1,400,unexp,200,,,
0.4,400,unexp,500,,,
0.7,400,unexp,200,,,
0.4,400,unexp,200,,,
0.1,400,unexp,200,,,
0.7,400,unexp,300,,,
0.4,400,unexp,400,,,
0.7,400,unexp,500,,,
0.1,400,unexp,200,,,
0.7,400,unexp,300,,,
0.1,400,unexp,200,,,
0.4,400,unexp,300,,,
0.4,400,unexp,400,,,
0.7,400,unexp,500,,,
0.1,400,unexp,200,,,
0.7,400,unexp,400,,,
0.4,400,unexp,200,,,
0.1,400,unexp,200,,,
0.1,400,unexp,150,,,
0.7,400,unexp,300,,,
0.4,400,unexp,300,,,
0.1,400,unexp,200,,,
0.4,400,unexp,400,,,
0.7,400,unexp,300,,,
0.1,400,unexp,150,,,
0.7,400,unexp,400,,,
0.4,400,unexp,200,,,
0.1,400,unexp,150,,,
0.7,400,unexp,300,,,
0.4,400,unexp,200,,,
0.7,400,unexp,250,,,
0.1,400,unexp,150,,,
0.4,400,unexp,200,,,
0.1,400,unexp,150,,,
0.7,400,unexp,300,,,
0.4,400,unexp,250,,,
0.4,400,unexp,200,,,
0.1,400,unexp,100,,,
0.7,400,unexp,400,,,
0.1,400,unexp,100,,,
0.4,400,unexp,200,,,
0.7,400,unexp,400,,,
0.1,400,unexp,300,,,
0.7,400,unexp,500,,,
0.4,400,unexp,400,,,
0.1,400,unexp,200,,,
0.4,400,unexp,300,,,
0.7,400,unexp,300,,,
0.1,400,unexp,200,,,
0.4,400,unexp,300,,,
0.7,400,unexp,350,,,
0.7,400,unexp,400,,,
0.1,400,unexp,100,,,
0.4,400,unexp,200,,,
0.4,400,unexp,300,,,
0.1,400,unexp,150,,,
0.7,400,unexp,200,,,
0.4,400,unexp,150,,,
0.1,400,unexp,200,,,
0.7,400,unexp,400,,,
0.1,400,unexp,100,,,
0.4,400,unexp,400,,,
0.7,400,unexp,350,,,
0.1,400,unexp,200,,,
0.7,400,unexp,400,,,
0.4,400,unexp,300,,,
0.1,400,unexp,150,,,
0.4,400,unexp,300,,,
0.7,400,unexp,500,,,
0.1,400,unexp,150,,,
0.7,400,unexp,200,,,
0.4,400,unexp,250,,,
0.1,400,unexp,200,,,
0.4,400,unexp,200,,,
0.7,400,unexp,350,,,
0.1,400,unexp,150,,,
0.4,400,unexp,200,,,
0.7,400,unexp,300,,,
0.7,400,unexp,400,,,
0.1,400,unexp,200,,,
0.4,400,unexp,300,,,
0.1,400,unexp,150,,,
0.7,400,unexp,350,,,
0.4,400,unexp,200,,,
0.7,400,unexp,200,,,
0.1,400,unexp,200,,,
0.4,400,unexp,250,,,
0.4,400,unexp,200,,,
0.1,400,unexp,200,,,
0.7,400,unexp,250,,,
0.1,400,unexp,200,,,
0.4,400,unexp,200,,,
0.7,400,unexp,300,,,
