cue,key_resp.corr,key_resp.rt,,,,key_resp.corr,cue,key_resp.rt,,,,pasted as value avg rt,,,,key_resp.corr,cue,key_resp.rt,task_switch_type,,key_resp.corr,cue,key_resp.rt,task_switch_type
y,0,0.5383783,,,,1,y,0.4471487,,avg colour-to-shape rt,0.493828262,0.763517424,,,,1,y,0.6721192,,,1,x,1.1449649,easy_to_hard
y,1,0.6721192,,,,1,y,0.5191452,,avg shape-to-colour rt,0.493828262,0.493828262,,,,1,y,0.3888908,,,1,x,0.9698989,easy_to_hard
y,1,0.3888908,,,,1,y,0.4848079,,,,,,,,1,y,0.5785442,,,1,y,0.5191452,hard_to_easy
y,1,0.5785442,,,,1,y,0.461941,,,,,,,,1,x,1.1449649,easy_to_hard,,1,x,0.541138,easy_to_hard
x,1,1.1449649,,,,1,y,0.4443956,,,,,,,,1,x,0.6726159,,,1,y,0.4848079,hard_to_easy
x,1,0.6726159,,,,1,y,0.3226657,,,,,,,,1,x,0.7715188,,,1,x,0.6170159,easy_to_hard
x,1,0.7715188,,,,1,y,0.3900096,,,,,,,,1,x,0.6828095,,,1,y,0.461941,hard_to_easy
x,1,0.6828095,,,,1,y,0.4869084,,,,,,,,1,y,0.4471487,,,1,x,0.6148083,easy_to_hard
y,0,0.3741913,,,,1,y,0.3499643,,,,,,,,1,y,0.4825358,,,1,y,0.4443956,hard_to_easy
y,1,0.4471487,,,,1,y,0.4881466,,,,,,,,1,x,0.9698989,easy_to_hard,,1,x,0.6496012,easy_to_hard
y,1,0.4825358,,,,1,y,0.3954125,,,,,,,,1,y,0.5191452,hard_to_easy,,1,y,0.3226657,hard_to_easy
x,1,0.9698989,,,,1,y,0.3503371,,,,,,,,1,x,0.541138,easy_to_hard,,1,x,0.8671467,easy_to_hard
y,1,0.5191452,,,,1,y,0.4156723,,,,,,,,1,x,0.6162043,,,1,y,0.3900096,hard_to_easy
x,1,0.541138,,,,1,y,0.4415812,,,,,,,,1,x,0.5597727,,,1,x,0.5072145,easy_to_hard
x,1,0.6162043,,,,1,y,0.2858889,,,,,,,,1,y,0.4848079,hard_to_easy,,1,y,0.4869084,hard_to_easy
x,1,0.5597727,,,,1,y,0.4218184,,,,,,,,1,x,0.6170159,easy_to_hard,,1,x,0.5563916,easy_to_hard
y,1,0.4848079,,,,1,y,0.4222932,,,,,,,,1,y,0.461941,hard_to_easy,,1,y,0.3499643,hard_to_easy
x,1,0.6170159,,,,1,y,1.2022033,,,,,,,,1,x,0.6148083,easy_to_hard,,1,x,0.8415867,easy_to_hard
y,1,0.461941,,,,1,y,0.49181,,,,,,,,1,x,0.9108542,,,1,y,0.4881466,hard_to_easy
x,1,0.6148083,,,,1,y,0.5199897,,,,,,,,1,y,0.4443956,hard_to_easy,,1,x,0.6003403,easy_to_hard
x,1,0.9108542,,,,1,y,0.5542981,,,,,,,,1,y,0.3493079,,,1,y,0.3954125,hard_to_easy
y,1,0.4443956,,,,1,y,0.9404957,,,,,,,,1,x,0.6496012,easy_to_hard,,1,x,0.7309724,easy_to_hard
y,1,0.3493079,,,,1,y,0.8071843,,,,,,,,1,y,0.3226657,hard_to_easy,,1,y,0.3503371,hard_to_easy
x,1,0.6496012,,,,1,y,0.3857613,,,,,,,,1,x,0.8671467,easy_to_hard,,1,x,0.5563424,easy_to_hard
y,1,0.3226657,,,,1,y,0.6363372,,,,,,,,1,x,0.5168727,,,1,y,0.4156723,hard_to_easy
x,1,0.8671467,,,,1,y,0.5461292,,,,,,,,1,y,0.3900096,hard_to_easy,,1,x,0.6001437,easy_to_hard
x,1,0.5168727,,,,1,y,0.370604,,,,,,,,1,y,0.3405472,,,1,y,0.4415812,hard_to_easy
y,1,0.3900096,,,,1,y,0.3758902,,,,,,,,1,y,0.3200751,,,1,x,0.7324505,easy_to_hard
y,1,0.3405472,,,,1,y,0.36218,,,,,,,,1,x,0.5072145,easy_to_hard,,1,y,0.2858889,hard_to_easy
y,1,0.3200751,,,,1,x,1.1449649,,,,,,,,1,x,0.7246983,,,1,x,0.8402387,easy_to_hard
x,1,0.5072145,,,,1,x,0.9698989,,,,,,,,1,x,0.3537726,,,1,y,0.4218184,hard_to_easy
x,1,0.7246983,,,,1,x,0.541138,,,,,,,,1,x,0.4232657,,,1,x,0.4028817,easy_to_hard
x,1,0.3537726,,,,1,x,0.6170159,,,,,,,,1,y,0.4869084,hard_to_easy,,1,y,0.4222932,hard_to_easy
y,0,0.3349425,,,,1,x,0.6148083,,,,,,,,1,x,0.5563916,easy_to_hard,,1,x,0.4506226,easy_to_hard
x,1,0.4232657,,,,1,x,0.6496012,,,,,,,,1,y,0.3499643,hard_to_easy,,1,y,1.2022033,hard_to_easy
y,1,0.4869084,,,,1,x,0.8671467,,,,,,,,1,x,0.8415867,easy_to_hard,,1,x,0.8349316,easy_to_hard
x,1,0.5563916,,,,1,x,0.5072145,,,,,,,,1,y,0.4881466,hard_to_easy,,1,y,0.49181,hard_to_easy
y,1,0.3499643,,,,1,x,0.5563916,,,,,,,,1,x,0.6003403,easy_to_hard,,1,x,2.0506114,easy_to_hard
x,1,0.8415867,,,,1,x,0.8415867,,,,,,,,1,y,0.3954125,hard_to_easy,,1,y,0.5199897,hard_to_easy
y,1,0.4881466,,,,1,x,0.6003403,,,,,,,,1,y,0.3502874,,,1,x,1.0607304,easy_to_hard
x,1,0.6003403,,,,1,x,0.7309724,,,,,,,,1,y,0.3117199,,,1,y,0.5542981,hard_to_easy
y,1,0.3954125,,,,1,x,0.5563424,,,,,,,,1,x,0.7309724,easy_to_hard,,1,x,0.5912275,easy_to_hard
y,1,0.3502874,,,,1,x,0.6001437,,,,,,,,1,x,0.6733231,,,1,y,0.9404957,hard_to_easy
y,1,0.3117199,,,,1,x,0.7324505,,,,,,,,1,y,0.3503371,hard_to_easy,,1,x,0.9369337,easy_to_hard
x,1,0.7309724,,,,1,x,0.8402387,,,,,,,,1,x,0.5563424,easy_to_hard,,1,y,0.8071843,hard_to_easy
x,1,0.6733231,,,,1,x,0.4028817,,,,,,,,1,y,0.4156723,hard_to_easy,,1,x,0.8079875,easy_to_hard
y,1,0.3503371,,,,1,x,0.4506226,,,,,,,,1,x,0.6001437,easy_to_hard,,1,y,0.3857613,hard_to_easy
x,1,0.5563424,,,,1,x,0.8349316,,,,,,,,1,x,0.6091868,,,1,x,0.7817833,easy_to_hard
y,1,0.4156723,,,,1,x,2.0506114,,,,,,,,1,x,0.6848296,,,1,y,0.6363372,hard_to_easy
x,1,0.6001437,,,,1,x,1.0607304,,,,,,,,1,y,0.4415812,hard_to_easy,,1,x,0.7436352,easy_to_hard
x,1,0.6091868,,,,1,x,0.5912275,,,,,,,,1,x,0.7324505,easy_to_hard,,1,y,0.5461292,hard_to_easy
x,1,0.6848296,,,,1,x,0.9369337,,,,,,,,1,y,0.2858889,hard_to_easy,,1,x,0.6795415,easy_to_hard
y,1,0.4415812,,,,1,x,0.8079875,,,,,,,,1,y,0.3164062,,,1,y,0.370604,hard_to_easy
x,1,0.7324505,,,,1,x,0.7817833,,,,,,,,1,y,0.3832112,,,1,x,0.8210724,easy_to_hard
y,1,0.2858889,,,,1,x,0.7436352,,,,,,,,1,y,0.4029877,,,1,y,0.3758902,hard_to_easy
y,1,0.3164062,,,,1,x,0.6795415,,,,,,,,1,x,0.8402387,easy_to_hard,,1,x,0.6097918,easy_to_hard
y,1,0.3832112,,,,1,x,0.8210724,,,,,,,,1,y,0.4218184,hard_to_easy,,1,y,0.36218,hard_to_easy
y,1,0.4029877,,,,1,x,0.6097918,,,,,,,,1,x,0.4028817,easy_to_hard,,,,,
x,1,0.8402387,,,,1,y,0.6721192,,,,,,,,1,x,0.4501157,,,,,,
y,1,0.4218184,,,,1,y,0.3888908,,,,,,,,1,x,0.6593788,,,,,,
x,1,0.4028817,,,,1,y,0.5785442,,,,,,,,1,y,0.4222932,hard_to_easy,,,,,
x,1,0.4501157,,,,1,x,0.6726159,,,,,,,,1,y,0.2811654,,,,,,
x,1,0.6593788,,,,1,x,0.7715188,,,,,,,,1,y,0.3098717,,,,,,
y,1,0.4222932,,,,1,x,0.6828095,,,,,,,,1,x,0.4506226,easy_to_hard,,,,,
y,1,0.2811654,,,,1,y,0.4825358,,,,,,,,1,x,0.5044344,,,,,,
y,1,0.3098717,,,,1,x,0.6162043,,,,,,,,1,x,0.4745213,,,,,,
x,1,0.4506226,,,,1,x,0.5597727,,,,,,,,1,x,0.612566,,,,,,
x,1,0.5044344,,,,1,x,0.9108542,,,,,,,,1,y,1.2022033,hard_to_easy,,,,,
x,1,0.4745213,,,,1,y,0.3493079,,,,,,,,1,y,0.3476058,,,,,,
x,1,0.612566,,,,1,x,0.5168727,,,,,,,,1,x,0.8349316,easy_to_hard,,,,,
y,1,1.2022033,,,,1,y,0.3405472,,,,,,,,1,x,2.400455,,,,,,
y,1,0.3476058,,,,1,y,0.3200751,,,,,,,,1,y,0.49181,hard_to_easy,,,,,
x,1,0.8349316,,,,1,x,0.7246983,,,,,,,,1,x,2.0506114,easy_to_hard,,,,,
y,0,0.314174,,,,1,x,0.3537726,,,,,,,,1,y,0.5199897,hard_to_easy,,,,,
y,0,0.3377115,,,,1,x,0.4232657,,,,,,,,1,y,0.3371786,,,,,,
x,0,0.7585341,,,,1,y,0.3502874,,,,,,,,1,x,1.0607304,easy_to_hard,,,,,
x,1,2.400455,,,,1,y,0.3117199,,,,,,,,1,x,0.6799473,,,,,,
y,1,0.49181,,,,1,x,0.6733231,,,,,,,,1,y,0.5542981,hard_to_easy,,,,,
x,1,2.0506114,,,,1,x,0.6091868,,,,,,,,1,y,0.3845309,,,,,,
y,1,0.5199897,,,,1,x,0.6848296,,,,,,,,1,x,0.5912275,easy_to_hard,,,,,
y,1,0.3371786,,,,1,y,0.3164062,,,,,,,,1,y,0.9404957,hard_to_easy,,,,,
x,1,1.0607304,,,,1,y,0.3832112,,,,,,,,1,y,0.5474556,,,,,,
x,1,0.6799473,,,,1,y,0.4029877,,,,,,,,1,x,0.9369337,easy_to_hard,,,,,
y,1,0.5542981,,,,1,x,0.4501157,,,,,,,,1,x,0.5872205,,,,,,
y,1,0.3845309,,,,1,x,0.6593788,,,,,,,,1,y,0.8071843,hard_to_easy,,,,,
x,0,0.7915671,,,,1,y,0.2811654,,,,,,,,1,x,0.8079875,easy_to_hard,,,,,
x,1,0.5912275,,,,1,y,0.3098717,,,,,,,,1,x,0.4707834,,,,,,
y,1,0.9404957,,,,1,x,0.5044344,,,,,,,,1,y,0.3857613,hard_to_easy,,,,,
y,1,0.5474556,,,,1,x,0.4745213,,,,,,,,1,y,0.4284291,,,,,,
x,1,0.9369337,,,,1,x,0.612566,,,,,,,,1,y,0.3747861,,,,,,
x,1,0.5872205,,,,1,y,0.3476058,,,,,,,,1,y,0.37876,,,,,,
y,1,0.8071843,,,,1,x,2.400455,,,,,,,,1,x,0.7817833,easy_to_hard,,,,,
x,1,0.8079875,,,,1,y,0.3371786,,,,,,,,1,x,0.4595243,,,,,,
x,1,0.4707834,,,,1,x,0.6799473,,,,,,,,1,x,0.7164021,,,,,,
y,1,0.3857613,,,,1,y,0.3845309,,,,,,,,1,x,0.5618422,,,,,,
y,1,0.4284291,,,,1,y,0.5474556,,,,,,,,1,y,0.6363372,hard_to_easy,,,,,
y,1,0.3747861,,,,1,x,0.5872205,,,,,,,,1,y,0.3072012,,,,,,
y,1,0.37876,,,,1,x,0.4707834,,,,,,,,1,y,0.3262361,,,,,,
x,1,0.7817833,,,,1,y,0.4284291,,,,,,,,1,y,0.3302307,,,,,,
x,1,0.4595243,,,,1,y,0.3747861,,,,,,,,1,x,0.7436352,easy_to_hard,,,,,
x,1,0.7164021,,,,1,y,0.37876,,,,,,,,1,x,0.3711077,,,,,,
x,1,0.5618422,,,,1,x,0.4595243,,,,,,,,1,x,0.3814349,,,,,,
y,1,0.6363372,,,,1,x,0.7164021,,,,,,,,1,y,0.5461292,hard_to_easy,,,,,
y,1,0.3072012,,,,1,x,0.5618422,,,,,,,,1,x,0.6795415,easy_to_hard,,,,,
y,1,0.3262361,,,,1,y,0.3072012,,,,,,,,1,y,0.370604,hard_to_easy,,,,,
y,1,0.3302307,,,,1,y,0.3262361,,,,,,,,1,y,0.4163963,,,,,,
x,1,0.7436352,,,,1,y,0.3302307,,,,,,,,1,x,0.8210724,easy_to_hard,,,,,
x,1,0.3711077,,,,1,x,0.3711077,,,,,,,,1,x,0.6694435,,,,,,
x,0,0.3964852,,,,1,x,0.3814349,,,,,,,,1,y,0.3758902,hard_to_easy,,,,,
x,1,0.3814349,,,,1,y,0.4163963,,,,,,,,1,x,0.6097918,easy_to_hard,,,,,
y,0,0.4436097,,,,1,x,0.6694435,,,,,,,,1,y,0.36218,hard_to_easy,,,,,
y,1,0.5461292,,,,,,,,,,,,,,,,,,,,,,
x,1,0.6795415,,,,,,,,,,,,,,,,,,,,,,
y,1,0.370604,,,,,,,,,,,,,,,,,,,,,,
y,1,0.4163963,,,,,,,,,,,,,,,,,,,,,,
x,1,0.8210724,,,,,,,,,,,,,,,,,,,,,,
x,1,0.6694435,,,,,,,,,,,,,,,,,,,,,,
y,1,0.3758902,,,,,,,,,,,,,,,,,,,,,,
x,1,0.6097918,,,,,,,,,,,,,,,,,,,,,,
y,1,0.36218,,,,,,,,,,,,,,,,,,,,,,
