study_word,conditions,correct_rep,test,textbox.text,,,conditions,correct_rep,,,conditions,correct_rep,,,conditions,correct_rep,,conditions,correct_rep,,conditions,correct_rep
,non_prime,0,c_k_,,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,prime,1
,non_prime,0,I_f_,,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,prime,1
,prime,1,t_g_r,tiger,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,prime,1
,prime,1,t_b_e,table,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,prime,1
,non_prime,0,c_o_k,,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,1,,prime,1
,prime,1,p_an_,piano,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,prime,1
,prime,1,v_s_,vase,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,1,,prime,1
,prime,1,_ap_y,happy,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,non_prime,1
,prime,1,b_o_,book,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,1,,prime,1
,non_prime,0,_i_h_,,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,non_prime,1
,prime,1,c_s_i_n,cushion,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,non_prime,1
,non_prime,1,g_a_s,glass,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,1,,prime,1
,prime,1,c_l_s_,class,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,prime,1
,non_prime,0,b_r_,,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,non_prime,1
,non_prime,1,s_o_,shop,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,1,,prime,1
,non_prime,0,p_rr_t,,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,1,,prime,1
,non_prime,1,p_n_i_,pencil,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,1,,prime,1
,non_prime,0,s_i_t,,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,1,,prime,1
,non_prime,0,_r_e,,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,prime,1
,prime,1,l_n_h,lunch,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,non_prime,1
,prime,1,c_l_s_,class,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,non_prime,1
,non_prime,1,I_f_,lift,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,1,,non_prime,1
,prime,1,v_s_,vase,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,1,,prime,1
,non_prime,0,p_n_i_,,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,1,,non_prime,1
,prime,1,l_n_h,lunch,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,prime,1
,non_prime,0,s_o_,,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,0,,prime,1
,prime,1,_ap_y,happy,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,1,,non_prime,1
,prime,1,t_g_r,tiger,,,prime,1,,,non_prime,1,,,prime,1,,non_prime,1,,prime,1
,prime,1,p_an_,piano,,,prime,1,,,,,,,prime,1,,non_prime,1,,prime,1
,non_prime,1,c_k_,cake,,,prime,1,,,,,,,prime,1,,non_prime,1,,non_prime,1
,non_prime,1,_i_h_,light,,,prime,1,,,,,,,prime,1,,non_prime,1,,non_prime,1
,non_prime,1,s_i_t,shirt,,,prime,1,,,,,,,prime,1,,non_prime,1,,prime,1
,prime,1,c_s_i_n,cushion,,,prime,1,,,,,,,prime,1,,non_prime,1,,prime,1
,non_prime,1,b_r_,bird,,,prime,1,,,,,,,prime,1,,non_prime,1,,non_prime,1
,non_prime,0,_r_e,,,,prime,1,,,,,,,prime,1,,non_prime,1,,non_prime,1
,non_prime,0,p_rr_t,,,,prime,1,,,,,,,prime,1,,non_prime,1,,non_prime,1
,prime,1,t_b_e,table,,,,,,,,,,,,,,non_prime,1,,non_prime,1
,prime,1,b_o_,book,,,,,,,,,,,,,,non_prime,0,,non_prime,1
,non_prime,0,g_a_s,,,,proportion of hits for prime words,36,0.45,,,,,,,,,non_prime,1,,non_prime,1
,non_prime,1,c_o_k,clock,,,proportion of hits for non_prime words,28,0.35,,,,,,,,,non_prime,1,,prime,1
,prime,1,c_s_i_n,cushion,,,priming score,,0.1,,,,,,,,,non_prime,1,,prime,1
,prime,1,t_b_e,table,,,,,,,,,,,,,,non_prime,1,,prime,1
,non_prime,1,s_o_,shop,,,,,,,,,,,,,,non_prime,1,,prime,1
,non_prime,1,p_rr_t,parrot,,,,,,,,,,,,,,non_prime,1,,non_prime,1
,prime,1,p_an_,piano,,,,,,,,,,,,,,,,,prime,1
,non_prime,0,c_o_k,,,,,,,,,,,,,,,,,,non_prime,1
,non_prime,0,I_f_,,,,,,,,,,,,,,,,,,prime,1
,prime,1,l_n_h,lunch,,,,,,,,,,,,,,,,,non_prime,1
,non_prime,1,g_a_s,glass,,,,,,,,,,,,,,,,,non_prime,1
,non_prime,1,_i_h_,light,,,,,,,,,,,,,,,,,prime,1
,non_prime,1,s_i_t,shirt,,,,,,,,,,,,,,,,,prime,1
,non_prime,1,_r_e,tree,,,,,,,,,,,,,,,,,non_prime,1
,non_prime,1,b_r_,bird,,,,,,,,,,,,,,,,,prime,1
,non_prime,1,c_k_,cake,,,,,,,,,,,,,,,,,non_prime,1
,prime,1,t_g_r,tiger,,,,,,,,,,,,,,,,,prime,1
,prime,1,b_o_,book,,,,,,,,,,,,,,,,,non_prime,1
,prime,1,_ap_y,happy,,,,,,,,,,,,,,,,,non_prime,1
,prime,1,c_l_s_,class,,,,,,,,,,,,,,,,,non_prime,1
,non_prime,1,p_n_i_,pencil,,,,,,,,,,,,,,,,,non_prime,1
,prime,1,v_s_,vase,,,,,,,,,,,,,,,,,non_prime,1
,non_prime,1,b_r_,bird,,,,,,,,,,,,,,,,,prime,1
,prime,1,t_b_e,table,,,,,,,,,,,,,,,,,prime,1
,non_prime,1,_i_h_,light,,,,,,,,,,,,,,,,,prime,1
,non_prime,1,s_o_,shop,,,,,,,,,,,,,,,,,prime,1
,prime,1,t_g_r,tiger,,,,,,,,,,,,,,,,,,
,prime,1,l_n_h,lunch,,,,,,,,,,,,,,,,,,
,non_prime,1,_r_e,tree,,,,,,,,,,,,,,,,,,
,prime,1,_ap_y,happy,,,,,,,,,,,,,,,,,,
,non_prime,0,c_k_,,,,,,,,,,,,,,,,,,,
,non_prime,1,g_a_s,glass,,,,,,,,,,,,,,,,,,
,prime,1,c_s_i_n,cushion,,,,,,,,,,,,,,,,,,
,non_prime,1,s_i_t,shirt,,,,,,,,,,,,,,,,,,
,non_prime,1,p_rr_t,parrot,,,,,,,,,,,,,,,,,,
,non_prime,1,c_o_k,clock,,,,,,,,,,,,,,,,,,
,non_prime,1,p_n_i_,pencil,,,,,,,,,,,,,,,,,,
,non_prime,1,I_f_,lift,,,,,,,,,,,,,,,,,,
,prime,1,b_o_,book,,,,,,,,,,,,,,,,,,
,prime,1,p_an_,piano,,,,,,,,,,,,,,,,,,
,prime,1,c_l_s_,class,,,,,,,,,,,,,,,,,,
,prime,1,v_s_,vase,,,,,,,,,,,,,,,,,,
